도시,장소명(한국어),장소명(영문),분류,위도,경도,UNESCO,한국관광100선,권장체류(분),운영시간,설명
남원,광한루원,Gwanghallu Garden,역사·문화,35.4039,127.3798,,Y,70,08:00–21:00 · 유료,춘향전의 무대가 된 조선 정원.
남원,춘향테마파크,Chunhyang Theme Park,테마파크·액티비티,35.40163,127.38673,,,70,09:00–18:00 · 유료,춘향전을 전시와 세트로 풀어낸 공원.
남원,지리산 뱀사골,Baemsagol Valley,힐링·생태,35.37647,127.58043,,,120,상시 개방 · 무료,지리산 북쪽의 계곡. 단풍으로 알려져 있다.
남원,실상사,Silsangsa Temple,역사·문화,35.41642,127.6354,,,60,08:00–18:00 · 무료,신라 구산선문의 하나. 들판에 앉은 절이다.
남원,남원 예촌,Namwon Yechon,로컬·먹거리,35.40472,127.37867,,,60,상시 · 시설별 상이,광한루 옆 한옥 체험·식당 마을.
남해,남해 독일마을,Namhae German Village,테마파크·액티비티,34.79972,128.03864,,Y,70,상시 · 상점별 상이,파독 광부·간호사가 돌아와 이룬 마을. 붉은 지붕이 바다를 본다.
남해,다랭이마을,Darangee Village,힐링·생태,34.72728,127.8944,,,70,상시 개방 · 무료,비탈을 깎아 만든 계단식 논 마을.
남해,보리암,Boriam Hermitage,역사·문화,34.75202,127.98296,,,90,04:00–19:00 · 유료,금산 정상 아래 암자. 남해 바다가 펼쳐진다.
남해,상주은모래비치,Sangju Silver Sand Beach,해양·자연,34.72078,127.98809,,,70,상시 개방 · 해수욕 7–8월,반달 모양의 백사장. 금산이 뒤를 감싼다.
남해,남해 편백자연휴양림,Namhae Cypress Forest,힐링·생태,34.7526,128.0166,,,90,09:00–18:00 · 유료,편백숲 사이로 산책로가 난 국립휴양림.
합천,해인사,Haeinsa Temple,역사·문화,35.80118,128.0981,Y,,110,08:00–18:00 · 유료,팔만대장경을 모신 절. 장경판전이 유네스코 세계유산이다.
합천,대장경테마파크,Tripitaka Theme Park,테마파크·액티비티,35.76785,128.13491,,,70,09:00–18:00 · 월 휴관 · 유료,대장경 판각 과정을 전시로 푼 공원.
합천,합천영상테마파크,Hapcheon Film Set,테마파크·액티비티,35.54921,128.07312,,,70,09:00–18:00 · 유료,근현대 거리를 재현한 촬영 세트장.
합천,황매산 군립공원,Hwangmaesan Park,힐링·생태,35.48187,128.00348,,,120,상시 개방 · 주차 유료,철쭉과 억새로 알려진 고원. 5월과 10월이 절정이다.
합천,합천호,Hapcheon Lake,힐링·생태,35.52366,128.01843,,,60,상시 개방 · 무료,댐이 만든 호수. 호반 드라이브 길이 돈다.
광주,국립아시아문화전당,Asia Culture Center,테마파크·액티비티,35.14672,126.92025,,Y,110,10:00–18:00 · 월 휴관 · 일부 유료,옛 전남도청 자리에 지은 복합 문화시설.
광주,5·18 민주광장,May 18 Democracy Square,역사·문화,35.15008,126.85591,,,40,상시 개방 · 무료,1980년 항쟁의 중심 광장. 분수대가 남아 있다.
광주,양림동 근대역사문화마을,Yangnim-dong Historic Village,역사·문화,35.1403,126.91562,,,70,상시 개방 · 무료,선교사 사택과 한옥이 남은 근대 골목.
광주,무등산 국립공원,Mudeungsan National Park,힐링·생태,35.14411,126.98901,,Y,180,상시 개방 · 무료,주상절리 입석대와 서석대가 있는 산.
광주,대인예술시장,Daein Art Market,로컬·먹거리,35.15528,126.91619,,,60,10:00–20:00 · 야시장 토요일,예술가가 들어와 되살아난 시장.
광주,광주시립미술관,Gwangju Museum of Art,테마파크·액티비티,35.18315,126.8857,,,70,10:00–18:00 · 월 휴관 · 유료,비엔날레와 함께 지역 미술을 다루는 시립관.
천안,독립기념관,Independence Hall of Korea,역사·문화,36.78371,127.22334,,Y,120,09:30–18:00 · 월 휴관 · 무료,독립운동사를 다룬 국립 기념관.
천안,각원사,Gagwonsa Temple,역사·문화,36.83429,127.19694,,,60,상시 개방 · 무료,태조산 자락의 절. 청동 좌불이 크게 앉아 있다.
천안,병천순대거리,Byeongcheon Sundae Street,로컬·먹거리,36.75968,127.2977,,,60,09:00–20:00 · 점포별 상이,병천순대 노포가 모인 거리.
천안,천안삼거리공원,Cheonan Samgeori Park,힐링·생태,36.78492,127.16556,,,50,상시 개방 · 무료,흥타령으로 알려진 옛 길목의 공원.
천안,아라리오갤러리,Arario Gallery,테마파크·액티비티,36.81937,127.15788,,,60,11:00–19:00 · 월 휴관 · 유료,천안역 앞 현대미술 갤러리.
공주,공산성,Gongsanseong Fortress,역사·문화,36.46465,127.12491,Y,Y,80,09:00–18:00 · 유료,백제 웅진기의 산성. 유네스코 백제역사유적지구다.
공주,무령왕릉과 왕릉원,Tomb of King Muryeong,역사·문화,36.46313,127.11449,Y,Y,70,09:00–18:00 · 유료,무령왕 부부의 벽돌무덤. 유네스코 세계유산이다.
공주,국립공주박물관,Gongju National Museum,역사·문화,36.46577,127.11244,,,80,09:00–18:00 · 월 휴관 · 무료,무령왕릉 출토품을 모은 국립박물관.
공주,마곡사,Magoksa Temple,역사·문화,36.55885,127.01212,Y,,90,08:00–18:00 · 유료,태화산 계곡의 절. 유네스코 산사에 든다.
공주,공주 산성시장,Gongju Sanseong Market,로컬·먹거리,36.45782,127.12327,,,60,08:00–20:00 · 야시장 금·토,공산성 앞 전통시장. 밤에 야시장이 선다.
부여,부소산성,Busosanseong Fortress,역사·문화,36.28847,126.91257,Y,Y,90,09:00–18:00 · 유료,사비 백제의 배후 산성. 낙화암이 있다.
부여,정림사지 오층석탑,Jeongnimsa Stone Pagoda,역사·문화,36.27933,126.91337,Y,,50,09:00–18:00 · 유료,백제 석탑의 전형. 절터에 홀로 서 있다.
부여,궁남지,Gungnamji Pond,힐링·생태,36.2696,126.91223,Y,Y,60,상시 개방 · 무료,백제의 인공 연못. 여름에 연꽃이 덮는다.
부여,국립부여박물관,Buyeo National Museum,역사·문화,36.27639,126.919,,,70,09:00–18:00 · 월 휴관 · 무료,금동대향로를 소장한 국립박물관.
부여,백제문화단지,Baekje Cultural Land,테마파크·액티비티,36.3069,126.90549,,,90,09:00–18:00 · 유료,사비 왕궁을 복원한 단지.
군산,군산 근대역사박물관,Gunsan Modern History Museum,역사·문화,35.9907,126.71197,,,70,09:00–18:00 · 월 휴관 · 유료,개항과 수탈의 역사를 다룬 박물관.
군산,경암동 철길마을,Gyeongam-dong Rail Village,테마파크·액티비티,35.98131,126.7355,,,50,상시 · 상점별 상이,집 사이로 철길이 지나던 마을.
군산,초원사진관,Chowon Photo Studio,테마파크·액티비티,35.98772,126.70838,,,30,09:00–18:00 · 무료,영화 8월의 크리스마스 촬영지.
군산,선유도해수욕장,Seonyudo Beach,해양·자연,35.81643,126.4106,,,100,상시 개방 · 해수욕 7–8월,고군산군도의 섬 해변. 다리로 이어진다.
군산,이성당,Lee Sung Dang Bakery,로컬·먹거리,35.9872,126.71127,,,40,08:00–21:00,1945년에 연 한국에서 가장 오래된 빵집.
용인,한국민속촌,Korean Folk Village,역사·문화,37.25894,127.11811,,Y,150,10:00–18:30 · 유료,조선 마을을 재현한 민속촌. 공연이 이어진다.
용인,에버랜드,Everland,테마파크·액티비티,37.29391,127.20257,,Y,240,10:00–21:00 · 유료,국내 최대 테마파크. 사파리와 장미원이 있다.
용인,백남준아트센터,Nam June Paik Art Center,테마파크·액티비티,37.26915,127.11038,,,70,10:00–18:00 · 월 휴관 · 무료,비디오 아트의 백남준을 다룬 미술관.
용인,경기도박물관,Gyeonggi Provincial Museum,역사·문화,37.26806,127.10881,,,70,10:00–18:00 · 월 휴관 · 무료,경기 지역 역사와 유물을 모은 박물관.
용인,용인자연휴양림,Yongin Forest Resort,힐링·생태,37.31482,127.2676,,,90,09:00–18:00 · 유료,수도권 가까운 산림휴양림. 숲길이 이어진다.
창원,진해 여좌천,Yeojwacheon Stream,힐링·생태,35.16096,128.66025,,,60,상시 개방 · 군항제 4월,벚꽃 터널로 알려진 하천길. 군항제 때 절정이다.
창원,주남저수지,Junam Reservoir,힐링·생태,35.3147,128.67268,,,80,상시 개방 · 무료,겨울 철새가 내리는 저수지. 탐조대가 있다.
창원,마산어시장,Masan Fish Market,로컬·먹거리,35.20281,128.57626,,,60,05:00–20:00 · 점포별 상이,아귀찜과 활어로 알려진 항구 시장.
창원,돝섬해상유원지,Dotseom Island Park,해양·자연,35.17894,128.58114,,,80,유람선 운항시간 확인 · 유료,배로 건너는 섬 유원지. 마산만이 둘러싼다.
창원,상남시장,Sangnam Market,로컬·먹거리,35.22169,128.68403,,,50,09:00–21:00 · 점포별 상이,창원 도심의 상설시장.
창원,용지호수공원,Yongji Lake Park,힐링·생태,35.23102,128.68456,,,50,상시 개방 · 무료,도심 한가운데의 호수 공원. 음악분수가 선다.
울산,대왕암공원,Daewangam Park,해양·자연,35.4924,129.43956,,Y,90,상시 개방 · 무료,해안 기암과 송림을 걷는 공원. 출렁다리가 있다.
울산,태화강 국가정원,Taehwagang National Garden,힐링·생태,35.54777,129.29622,,Y,90,상시 개방 · 무료,국가정원 2호. 십리대숲이 강을 따라 이어진다.
울산,간절곶,Ganjeolgot,해양·자연,35.35914,129.3618,,,50,상시 개방 · 무료,한반도에서 해가 가장 먼저 뜨는 곶.
울산,반구대 암각화,Bangudae Petroglyphs,역사·문화,35.60505,129.17978,,,70,09:00–18:00 · 무료,선사시대 고래 사냥을 새긴 바위그림. 국보다.
울산,장생포 고래문화마을,Jangsaengpo Whale Village,테마파크·액티비티,35.50581,129.3826,,,90,09:00–18:00 · 월 휴관 · 유료,포경 시절을 재현한 마을과 고래박물관.
울산,울산대공원,Ulsan Grand Park,힐링·생태,35.53126,129.29343,,,70,상시 개방 · 무료,장미원과 숲길을 둔 도심 대공원.
태안,꽃지해수욕장,Kkotji Beach,해양·자연,36.49693,126.3352,,Y,80,상시 개방 · 해수욕 7–8월,할미·할아비 바위 사이로 해가 지는 해변.
태안,신두리 해안사구,Sinduri Coastal Dunes,힐링·생태,36.84512,126.19672,,,70,상시 개방 · 무료,한국 최대의 해안 사구. 천연기념물이다.
태안,천리포수목원,Chollipo Arboretum,힐링·생태,36.79836,126.14992,,,90,09:00–18:00 · 유료,목련으로 이름난 바닷가 수목원.
태안,만리포해수욕장,Mallipo Beach,해양·자연,36.78642,126.14235,,,70,상시 개방 · 해수욕 7–8월,서해안의 넓은 백사장. 서핑 스폿이 있다.
태안,안면도 자연휴양림,Anmyeondo Forest Resort,힐링·생태,36.49749,126.36021,,,80,09:00–18:00 · 유료,수령 100년 안면송이 자라는 휴양림.
양평,두물머리,Dumulmeori,힐링·생태,37.53474,127.31789,,Y,60,상시 개방 · 무료,북한강과 남한강이 만나는 자리. 느티나무가 서 있다.
양평,세미원,Semiwon Garden,힐링·생태,37.54016,127.32411,,,70,09:00–18:00 · 유료,연꽃으로 채운 물의 정원.
양평,양평 용문사,Yongmunsa Temple,역사·문화,37.55019,127.57082,,,90,08:00–18:00 · 유료,천년 은행나무가 선 절.
양평,물의정원,Water Garden,힐링·생태,37.55686,127.31499,,,50,상시 개방 · 무료,북한강변의 꽃밭 공원. 봄 양귀비가 핀다.
양평,양평물맑은시장,Yangpyeong Market,로컬·먹거리,37.48926,127.48822,,,50,09:00–19:00 · 5일장 3·8일,한우와 나물로 알려진 오일장.
여주,신륵사,Silleuksa Temple,역사·문화,37.2975,127.66158,,,70,08:00–18:30 · 유료,남한강변에 앉은 절. 강가 전탑이 서 있다.
여주,세종대왕릉 영릉,Yeongneung Royal Tomb,역사·문화,37.31424,127.60871,Y,,80,09:00–18:00 · 유료,세종대왕과 효종의 능. 조선왕릉 세계유산이다.
여주,명성황후 생가,Birthplace of Empress Myeongseong,역사·문화,37.26084,127.65566,,,50,09:00–18:00 · 유료,명성황후가 태어난 집과 기념관.
여주,여주 도자세상,Yeoju Ceramic World,테마파크·액티비티,37.30005,127.65675,,,60,09:00–18:00 · 무료,도예 공방과 전시가 모인 도자 단지.
여주,여주 프리미엄아울렛,Yeoju Premium Outlets,로컬·먹거리,37.29415,127.6463,,,120,10:30–21:00,국내 첫 프리미엄 아울렛.
가평,아침고요수목원,Garden of Morning Calm,힐링·생태,37.74397,127.35249,,Y,100,08:30–19:00 · 유료,축령산 자락의 정원. 겨울 오색별빛정원전이 열린다.
가평,쁘띠프랑스,Petite France,테마파크·액티비티,37.71489,127.49032,,,80,09:00–18:00 · 유료,어린왕자를 주제로 한 프랑스 마을 세트.
가평,자라섬,Jaraseom Island,힐링·생태,37.81649,127.52863,,,70,상시 개방 · 캠핑 유료,재즈 페스티벌이 열리는 강 위의 섬.
가평,잣향기푸른숲,Pine Nut Forest,힐링·생태,37.77214,127.33912,,,90,09:00–18:00 · 유료,잣나무 숲을 걷는 치유의 숲.
가평,호명호수,Homyeong Lake,힐링·생태,37.74858,127.47494,,,70,09:00–17:00 · 무료,산 위에 만든 양수발전 호수. 전망대가 있다.
양산,통도사,Tongdosa Temple,역사·문화,35.48795,129.06434,Y,Y,100,08:00–18:00 · 유료,부처 진신사리를 모신 절. 유네스코 산사에 든다.
양산,홍룡폭포,Hongnyong Falls,힐링·생태,35.39737,129.08731,,,50,상시 개방 · 무료,천성산 자락의 삼단 폭포.
양산,황산공원,Hwangsan Park,힐링·생태,35.29845,128.99318,,,60,상시 개방 · 무료,낙동강변의 넓은 둔치 공원.
보은,법주사,Beopjusa Temple,역사·문화,36.54155,127.83318,Y,Y,100,08:00–18:00 · 유료,속리산 절. 팔상전 목탑이 서 있다. 유네스코 산사다.
보은,속리산 세심정,Songnisan Sesimjeong,힐링·생태,36.53333,127.9,,,90,상시 개방 · 국립공원 입장,법주사에서 문장대로 드는 계곡 길목.
보은,보은 삼년산성,Samnyeon Fortress,역사·문화,36.48846,127.74233,,,70,상시 개방 · 무료,신라가 삼 년에 걸쳐 쌓았다는 석성.
해남,대흥사,Daeheungsa Temple,역사·문화,34.47601,126.6163,Y,,90,08:00–18:00 · 유료,두륜산 자락의 절. 유네스코 산사에 든다.
해남,땅끝마을,Land\u2019s End Village,해양·자연,34.30025,126.52699,,,70,상시 · 모노레일 유료,한반도 남쪽 끝. 전망대와 모노레일이 있다.
해남,우수영관광지,Uisuyeong Site,역사·문화,34.5725,126.3095,,,60,09:00–18:00 · 유료,명량대첩의 바다를 마주한 유적지.
함양,남계서원,Namgye Seowon,역사·문화,35.54886,127.78344,Y,,50,09:00–18:00 · 무료,정여창을 모신 서원. 유네스코 세계유산이다.
함양,상림공원,Sangnim Park,힐링·생태,35.52404,127.71976,,,70,상시 개방 · 무료,최치원이 조성했다는 천년 숲.
함양,개평한옥마을,Gaepyeong Hanok Village,역사·문화,35.56424,127.76927,,,60,상시 개방 · 무료,고택이 모인 선비 마을.
장성,필암서원,Pilam Seowon,역사·문화,35.31067,126.75173,Y,,50,09:00–18:00 · 무료,김인후를 모신 서원. 유네스코 세계유산이다.
장성,백양사,Baekyangsa Temple,힐링·생태,35.4395,126.88336,,,90,08:00–18:00 · 유료,내장산 국립공원의 절. 단풍으로 알려져 있다.
장성,축령산 편백숲,Chungnyeongsan Cypress Forest,힐링·생태,35.39539,126.73459,,,90,상시 개방 · 무료,사람이 심어 기른 편백 조림지.
정읍,무성서원,Museong Seowon,역사·문화,35.60186,126.98385,Y,,50,09:00–18:00 · 무료,최치원을 모신 서원. 유네스코 세계유산이다.
정읍,내장산 국립공원,Naejangsan National Park,힐링·생태,35.4797,126.88798,,Y,150,상시 개방 · 주차 유료,단풍으로 이름난 국립공원.
정읍,구절초지방정원,Gujeolcho Garden,힐링·생태,35.55339,127.01797,,,60,09:00–18:00 · 유료,가을 구절초가 덮는 솔숲 정원.
논산,돈암서원,Donam Seowon,역사·문화,36.20923,127.18076,Y,,50,09:00–18:00 · 무료,김장생을 모신 서원. 유네스코 세계유산이다.
논산,관촉사,Gwanchoksa Temple,역사·문화,36.18815,127.11319,,,60,08:00–18:00 · 무료,거대한 은진미륵 석불이 선 절.
논산,탑정호 출렁다리,Tapjeongho Suspension Bridge,테마파크·액티비티,36.18075,127.16008,,,50,09:00–22:00 · 무료,호수를 건너는 600m 보행 현수교.
경기광주,남한산성,Namhansanseong,역사·문화,37.48159,127.18482,Y,,120,상시 개방 · 행궁 유료,조선의 산성 도읍. 유네스코 세계유산이다.
경기광주,화담숲,Hwadam Forest,힐링·생태,37.34126,127.2892,,,120,08:30–18:00 · 유료 · 예약제,계곡을 따라 조성한 수목원. 모노레일이 오른다.
경기광주,곤지암도자공원,Gonjiam Ceramic Park,테마파크·액티비티,37.35213,127.32743,,,70,10:00–18:00 · 월 휴관 · 무료,조선 백자의 맥을 잇는 도자 공원.
익산,미륵사지,Mireuksa Temple Site,역사·문화,36.01079,127.03063,Y,,80,상시 개방 · 무료,백제 최대 절터. 유네스코 백제역사유적지구다.
익산,왕궁리 유적,Wanggungni Site,역사·문화,35.97281,127.05487,Y,,70,상시 개방 · 무료,백제 왕궁터와 오층석탑. 유네스코 세계유산이다.
익산,익산 보석박물관,Iksan Jewelry Museum,테마파크·액티비티,35.9906,127.10257,,,60,10:00–18:00 · 월 휴관 · 유료,보석 산지 익산의 원석·공예 전시관.
고창,고창 고인돌 유적,Gochang Dolmen Site,역사·문화,35.44873,126.64983,Y,,70,09:00–18:00 · 유료,수백 기가 모인 고인돌군. 유네스코 세계유산이다.
고창,선운사,Seonunsa Temple,역사·문화,35.49694,126.57823,,,90,08:00–18:00 · 유료,동백숲과 상사화로 알려진 절.
고창,고창읍성,Gochang Fortress,역사·문화,35.43089,126.70448,,,60,상시 개방 · 유료,조선 읍성. 성 밟기 풍습으로 알려져 있다.
화순,화순 고인돌 유적,Hwasun Dolmen Site,역사·문화,34.98515,126.91858,Y,,60,상시 개방 · 무료,계곡을 따라 늘어선 고인돌군. 유네스코 세계유산이다.
화순,운주사,Unjusa Temple,역사·문화,34.92548,126.88004,,,70,08:30–18:00 · 유료,천불천탑 전설이 남은 절.
화순,화순적벽,Hwasun Jeokbyeok,힐링·생태,35.11304,127.12315,,,70,셔틀 예약제 · 유료,호수 위로 솟은 붉은 절벽.
김해,대성동 고분군,Daeseong-dong Tombs,역사·문화,35.23741,128.87375,Y,,70,09:00–18:00 · 무료,금관가야 지배층 무덤. 유네스코 가야고분군이다.
김해,수로왕릉,Tomb of King Suro,역사·문화,35.23521,128.87853,,,50,09:00–18:00 · 무료,가락국 시조 수로왕의 능.
김해,가야테마파크,Gaya Theme Park,테마파크·액티비티,35.25073,128.89308,,,90,09:00–18:00 · 월 휴관 · 유료,가야 왕궁을 재현한 테마파크.
함안,말이산 고분군,Marisan Tombs,역사·문화,35.27036,128.40506,Y,,60,상시 개방 · 무료,아라가야 왕들의 능선 고분군. 유네스코 세계유산이다.
함안,함안박물관,Haman Museum,역사·문화,35.2692,128.40365,,,50,09:00–18:00 · 월 휴관 · 무료,말이산 출토품을 모은 박물관.
함안,무진정,Mujinjeong,힐링·생태,35.25542,128.42321,,,40,상시 개방 · 무료,연못 위 정자. 낙화놀이가 열린다.
창녕,교동과 송현동 고분군,Gyo-dong & Songhyeon-dong Tombs,역사·문화,35.5417,128.50865,Y,,60,상시 개방 · 무료,비화가야의 고분군. 유네스코 세계유산이다.
창녕,우포늪,Upo Wetland,힐링·생태,35.5515,128.412,,Y,90,일출–일몰 · 무료,국내 최대의 자연 내륙습지.
창녕,화왕산,Hwawangsan,힐링·생태,35.53722,128.56056,,,150,상시 개방 · 무료,억새 평원으로 알려진 산성 봉우리.
고령,지산동 고분군,Jisan-dong Tombs,역사·문화,35.72614,128.25329,Y,,70,상시 개방 · 무료,대가야 왕릉군. 유네스코 세계유산이다.
고령,대가야박물관,Daegaya Museum,역사·문화,35.723,128.25722,,,60,09:00–18:00 · 월 휴관 · 유료,대가야 유물과 왕릉전시관.
고령,개실마을,Gaesil Village,역사·문화,35.66745,128.22901,,,60,상시 · 체험 예약,점필재 종가가 남은 한옥 마을.
고성,송학동 고분군,Songhak-dong Tombs,역사·문화,34.98035,128.32135,Y,,50,상시 개방 · 무료,소가야의 고분군. 유네스코 세계유산이다.
고성,상족암군립공원,Sangjogam Park,해양·자연,34.9051,128.15112,,,80,상시 개방 · 무료,공룡 발자국이 남은 해안 절벽.
고성,당항포관광지,Danghangpo Site,테마파크·액티비티,35.05653,128.39841,,,70,09:00–18:00 · 유료,이순신 승전지에 조성한 관광지.
서천,서천 갯벌,Seocheon Tidal Flat,해양·자연,36.12851,126.5884,Y,,60,물때 확인 · 무료,유네스코 한국의 갯벌에 든 서해 갯벌.
서천,국립생태원,National Institute of Ecology,힐링·생태,36.02959,126.7248,,,120,09:30–17:00 · 월 휴관 · 유료,다섯 기후대를 재현한 생태 전시관.
서천,장항송림산림욕장,Janghang Pine Forest,힐링·생태,36.01351,126.66675,,,60,상시 개방 · 스카이워크 유료,바다를 낀 솔숲과 스카이워크.
신안,신안 갯벌,Sinan Tidal Flat,해양·자연,34.96439,126.13658,Y,,70,물때 확인 · 무료,유네스코 한국의 갯벌 가운데 가장 넓다.
신안,퍼플섬 반월도,Purple Island,테마파크·액티비티,34.70846,126.13472,,Y,90,상시 · 입장료,다리와 지붕을 보라색으로 칠한 섬.
신안,증도 태평염전,Taepyeong Salt Farm,테마파크·액티비티,34.98224,126.1587,,,70,09:00–18:00 · 유료,국내 최대 단일 천일염전.
보성,보성 벌교갯벌,Beolgyo Tidal Flat,해양·자연,34.76847,127.08325,Y,,60,물때 확인 · 무료,유네스코 한국의 갯벌에 든 꼬막 갯벌.
보성,대한다원 녹차밭,Daehan Tea Plantation,힐링·생태,34.71563,127.07879,,,80,09:00–18:00 · 유료,계단식 차밭과 삼나무길.
보성,율포솔밭해수욕장,Yulpo Beach,해양·자연,34.66995,127.08996,,,60,상시 개방 · 해수욕 7–8월,솔숲을 낀 해변. 해수녹차탕이 있다.
사천,사천 바다케이블카,Sacheon Sea Cable Car,테마파크·액티비티,34.93368,128.05315,,Y,80,09:30–18:00 · 유료 · 기상 휴업,초양도와 각산을 잇는 해상 케이블카.
사천,삼천포용궁수산시장,Samcheonpo Fish Market,로컬·먹거리,34.9275,128.07103,,,60,06:00–21:00 · 점포별 상이,삼천포항의 활어시장. 회와 쥐포가 난다.
사천,초양도,Choyangdo,해양·자연,35.08022,128.08301,,,50,상시 개방 · 무료,케이블카가 닿는 작은 섬. 전망 데크가 있다.
사천,사천 항공우주박물관,Sacheon Aerospace Museum,테마파크·액티비티,35.07137,128.06247,,,80,09:00–18:00 · 월 휴관 · 유료,실물 항공기를 전시한 우주항공 박물관.
사천,사천읍성,Sacheon Fortress,역사·문화,35.08408,128.09362,,,40,상시 개방 · 무료,조선 읍성의 성벽과 수양공원.
문경,문경새재 도립공원,Mungyeong Saejae Park,역사·문화,36.75904,128.07298,,,120,상시 개방 · 무료,조선 영남대로의 고갯길. 관문 세 개가 남았다.
문경,단산모노레일,Dansan Monorail,테마파크·액티비티,36.73682,128.15813,,,70,09:00–17:00 · 유료 · 기상 휴업,단산 정상까지 오르는 국내 최장 모노레일.
문경,문경 철로자전거,Rail Bike,테마파크·액티비티,36.65529,128.12827,,,60,09:00–17:00 · 유료,폐선 위를 달리는 철로자전거.
문경,봉암사,Bongamsa Temple,역사·문화,36.6258,128.0158,,,60,초파일 외 비공개,구산선문의 하나. 평소에는 수행 도량으로 닫혀 있다.
문경,오미자테마터널,Omija Theme Tunnel,테마파크·액티비티,36.66065,128.12875,,,50,09:00–18:00 · 유료,폐터널을 고친 오미자 전시·카페 공간.
울진,성류굴,Seongnyugul Cave,힐링·생태,36.95604,129.37979,,,60,09:00–17:30 · 유료,석회암 종유동굴. 신라 때 기록이 남아 있다.
울진,불영사,Buryeongsa Temple,역사·문화,36.9569,129.2531,,,70,08:00–18:00 · 유료,불영계곡 안의 절. 금강송 숲을 지난다.
울진,덕구온천,Deokgu Hot Spring,힐링·생태,37.07884,129.28332,,,110,06:00–20:00 · 유료,자연 용출 온천. 원탕까지 계곡길이 난다.
울진,죽변해안스카이레일,Jukbyeon Sky Rail,테마파크·액티비티,37.05578,129.42821,,,70,09:00–18:00 · 유료,바다 위를 달리는 4인승 레일.
울진,등기산스카이워크,Deunggisan Skywalk,해양·자연,36.67998,129.46627,,,50,09:00–18:00 · 무료,후포항 앞바다로 뻗은 유리 전망대.
원주,소금산 그랜드밸리,Sogeumsan Grand Valley,테마파크·액티비티,37.36789,127.82514,,,110,09:00–17:00 · 유료,"출렁다리와 울렁다리, 하늘정원을 잇는 협곡 코스."
원주,뮤지엄 산,Museum SAN,테마파크·액티비티,37.41896,127.82299,,Y,120,10:00–18:00 · 월 휴관 · 유료,안도 타다오가 설계한 산 위의 미술관.
원주,치악산 구룡사,Guryongsa Temple,힐링·생태,37.40469,128.0464,,,80,상시 개방 · 국립공원 입장,치악산 자락의 절. 금강송 숲길이 이어진다.
원주,원주 한지테마파크,Hanji Theme Park,테마파크·액티비티,37.33437,127.93546,,,60,09:00–18:00 · 월 휴관 · 무료,한지의 역사와 공예를 다룬 전시관.
원주,원주중앙시장,Wonju Jungang Market,로컬·먹거리,37.34998,127.94924,,,50,09:00–20:00 · 점포별 상이,도심 상설시장과 미로시장 골목.
평창,오대산 월정사,Woljeongsa Temple,역사·문화,37.73194,128.59289,Y,,100,08:00–18:00 · 유료,전나무 숲길로 드는 오대산의 절.
평창,대관령 양떼목장,Daegwallyeong Sheep Farm,힐링·생태,37.68849,128.75276,,,70,09:00–17:30 · 유료,능선을 걷는 초지 목장. 양에게 먹이를 준다.
평창,알펜시아,Alpensia,테마파크·액티비티,37.65692,128.67387,,,120,시설별 상이 · 유료,2018 동계올림픽 시설이 남은 리조트.
평창,발왕산 케이블카,Balwangsan Cable Car,힐링·생태,37.64402,128.67874,,,80,09:00–17:00 · 유료 · 기상 휴업,해발 1458m 정상으로 오르는 케이블카.
평창,봉평 이효석문화마을,Bongpyeong Literary Village,역사·문화,37.48971,128.45438,,,70,09:00–18:00 · 유료,메밀꽃 필 무렵의 무대. 9월에 메밀밭이 핀다.
파주,임진각 평화누리,Imjingak Peace Park,역사·문화,37.89225,126.74306,,Y,90,상시 개방 · 일부 유료,분단의 최전선 공원. 자유의 다리와 평화누리가 있다.
파주,헤이리 예술마을,Heyri Art Village,테마파크·액티비티,37.78884,126.69872,,Y,110,상시 · 시설별 상이,작가들이 지은 갤러리·공방 마을.
파주,파주 프로방스마을,Provence Village,로컬·먹거리,37.79097,126.6844,,,60,10:00–21:00 · 무료,유럽풍 상점과 조명으로 꾸민 마을.
파주,마장호수 흔들다리,Majang Lake Bridge,힐링·생태,37.77565,126.92783,,,60,09:00–18:00 · 무료,호수를 건너는 220m 흔들다리.
파주,파주 프리미엄아울렛,Paju Premium Outlets,로컬·먹거리,37.75959,126.77777,,,120,10:30–21:00,자유로변의 대형 아울렛.
고양,일산호수공원,Ilsan Lake Park,힐링·생태,37.65674,126.76625,,,80,상시 개방 · 무료,국내 최대 인공 호수 공원. 꽃박람회가 열린다.
고양,스타필드 고양,Starfield Goyang,로컬·먹거리,37.64731,126.89528,,,120,10:00–22:00,복합 쇼핑몰. 아쿠아필드가 있다.
고양,고양 행주산성,Haengju Fortress,역사·문화,37.59557,126.82815,,,70,09:00–18:00 · 유료,행주대첩의 토성. 한강이 내려다보인다.
고양,킨텍스,KINTEX,테마파크·액티비티,37.66899,126.74589,,,90,행사별 상이,국내 최대 전시컨벤션센터.
포천,포천 아트밸리,Pocheon Art Valley,테마파크·액티비티,37.92912,127.23488,,,90,09:00–19:00 · 유료,폐채석장을 고친 호수와 조각 공원.
포천,산정호수,Sanjeong Lake,힐링·생태,38.07059,127.32039,,,70,상시 개방 · 주차 유료,명성산 자락의 호수. 둘레길이 돈다.
포천,허브아일랜드,Herb Island,힐링·생태,37.96539,127.13167,,,100,09:00–22:00 · 유료,"허브 정원과 라벤더 축제, 불빛 동화마을."
